count,sell_out,price,url,title
43395,30天内已售出55234件，其中交易成功43395件,13.50,https://item.taobao.com/item.htm?id=545515939423&ns=1&abbucket=0#detail,女士专用刮毛刀腋毛私处腋下全身脱毛器手动剃毛刀女用剃毛阴毛
13833,13833,89.00,https://detail.tmall.com/item.htm?id=35733000897&ns=1&abbucket=0,女士剃毛器女用脱毛器腋下充电动仪私处脱毛机刮腋毛阴毛刮毛刀男
17355,30天内已售出23008件，其中交易成功17355件,12.80,https://item.taobao.com/item.htm?id=543937338383&ns=1&abbucket=0#detail,日本Kai贝印 刮腋毛刀 女用 刮毛刀阴毛私处剃毛刀手动腋下脱毛器
18057,18057,79.00-89.00,https://detail.tmall.com/item.htm?id=41885520042&ns=1&abbucket=0,雷瓦女士脱毛器充电式电动剃毛器女用刮腿毛刀腋下私处剃腋毛阴毛
6155,30天内已售出6707件，其中交易成功6155件,12.50,https://item.taobao.com/item.htm?id=550892523305&ns=1&abbucket=0#detail,女士刮毛刀腋毛私处剃毛刀腋下汗毛腿毛脱毛刀阴毛脱毛器手动全身
9774,30天内已售出11742件，其中交易成功9774件,13.30,https://item.taobao.com/item.htm?id=549781702830&ns=1&abbucket=0#detail,女士刮毛刀腋毛私处腋下腿毛全身脱毛器手动剃毛刀女用剃毛器阴毛
17882,17882,65.00-79.00,https://detail.tmall.com/item.htm?id=38400367973&ns=1&abbucket=0,女士专用脱毛器充电动剃毛器男女用刮毛刀腋下私处剃腋毛阴毛腿毛
8954,8954,29.90,https://detail.tmall.com/item.htm?id=532902009770&ns=1&abbucket=0,脱毛器女士男女用刮毛刀腋毛剃毛器私处全身腋下拔毛阴毛腿毛电动
5524,30天内已售出7197件，其中交易成功5524件,6.80,https://item.taobao.com/item.htm?id=541298731201&ns=1&abbucket=0#detail,手动刮毛刀腋毛私处腋下女士专用脱毛器剃须刀刮胡刀女用剃毛阴毛
6844,6844,59.00,https://detail.tmall.com/item.htm?id=22250952575&ns=1&abbucket=0,飞科女士脱毛器电动剃毛刀女用刮私处剃腋毛阴毛刮腿毛刀脱毛仪
4830,4830,9.80-19.90,https://detail.tmall.com/item.htm?id=541602726553&ns=1&abbucket=0,刮毛刀 女士专用去腋毛全身私处剃毛刀 手动剃毛器腿毛腋下脱毛器
3946,30天内已售出5237件，其中交易成功3946件,12.80,https://item.taobao.com/item.htm?id=548643425723&ns=1&abbucket=0#detail,日本贝印刮毛刀剃毛刀女用手动刮腋毛刀腿部私处阴毛脱毛刀剃毛器
3155,3155,11.90,https://detail.tmall.com/item.htm?id=39569232467&ns=1&abbucket=0,刮毛刀剃毛器脱毛仪私处阴毛男女士脸部全身腿腋毛女用腋下比基尼
1341,1341,65.00-75.00,https://detail.tmall.com/item.htm?id=546898505242&ns=1&abbucket=0,飞科女士脱毛器电动剃毛器女用刮腿毛刀腋下私处剃腋毛阴毛脱毛仪
-,-,0,https://item.taobao.com/item.htm?id=549899738326&ns=1&abbucket=0#detail,私密处脱毛器阴毛去腋毛神器剃毛器刮毛刀女舒适腋下私处干湿两用
2398,2398,79.00-99.00,https://detail.tmall.com/item.htm?id=552399413497&ns=1&abbucket=0,舒芙剃毛刀仕女 刮毛刀 手动女私处腋毛脱毛器除毛刀剃毛器女用
